cái ,才,cǎi ,彩,,,,,,
chán ,婵,,,,,,,,
cháng ,嫦,,,,,,,,
cháo ,朝,,,,,,,,
chéng ,诚,承,成,chén ,晨,,,,
chóng ,崇,,,,,,,,
chǔ ,楚,chū ,初,,,,,,
chún ,纯,chūn ,春,,,,,,
cí ,慈,,,,,,,,
cún ,存,,,,,,,,
dé ,得,,,,,,,,
dù ,度,,,,,,,,
ér ,儿,,,,,,,,
jié ,捷,,,,,,,,
jìng ,静,净,镜,,,,,,
jūn ,钧,,,,,,,,
níng ,甯,,,,,,,,
qí ,齐,,,,,,,,
qián ,前,qiān ,千,,,,,,
què ,雀,,,,,,,,
rán ,然,,,,,,,,
rén ,仁,,,,,,,,
róu ,柔,,,,,,,,
rú ,如,儒,,,,,,,
ruì ,瑞,睿,,,,,,,
shàn ,善,shān ,珊,,,,,,
shào ,劭,,,,,,,,
shèng ,盛,,,,,,,,
shí ,时,识,实,shì ,是,shī ,诗,shǐ ,始
shū ,纾,抒,舒,书,,,,,
shuǎng ,爽,shuāng ,双,,,,,,
shùn ,顺,,,,,,,,
sī ,思,,,,,,,,
tóng ,童,,,,,,,,
xī ,昔,悉,惜,,,,,,
xiān ,先,,,,,,,,
xiǎng ,想,,,,,,,,
xiè ,谢,,,,,,,,
xīng ,星,xīn ,心,,,,,,
xiù ,秀,琇,,,,,,,
xù ,续,絮,,,,,,,
xuān ,宣,绚,,,,,,,
yú ,愉,瑜,,,,,,,
yù ,裕,,,,,,,,
zài ,再,,,,,,,,
zàn ,赞,,,,,,,,
zī ,姿,,,,,,,,