bái ,白,bǎi ,百,,,,
bàn ,半,,,,,,
bì ,碧,,,,,,
bīng ,冰,bīn ,缤,,,,
fán ,凡,fān ,帆,,,,
fàng ,放,,,,,,
fēi ,飞,,,,,,
féng ,逢,fèng ,凤,fēng ,风,fēn ,纷
fù ,复,馥,,,,,
hǎi ,海,,,,,,
hán ,含,hàn ,翰,,,,
hé ,合,和,,,,,
hóng ,红,,,,,,
hòu ,厚,,,,,,
huá ,华,,,,,,
huái ,怀,,,,,,
huàn ,幻,奂,唤,huān ,欢,,
huì ,会,绘,诲,惠,huī ,晖,
jié ,洁,,,,,,
líng ,泠,lín ,霖,,,,
liú ,流,,,,,,
lóng ,泷,,,,,,
màn ,缦,,,,,,
méi ,玫,,,,,,
miǎo ,渺,邈,,,,,
míng ,名,,,,,,
móu ,眸,,,,,,
mù ,牧,慕,沐,,,,
pán ,盘,,,,,,
pèi ,佩,,,,,,
piāo ,缥,,,,,,
píng ,平,萍,pǐn ,品,,,
qīng ,清,qìn ,沁,,,,
shā ,纱,,,,,,
shēn ,深,,,,,,
shū ,淑,,,,,,
shuǐ ,水,,,,,,
tài ,泰,,,,,,
wǎn ,晚,,,,,,
wàng ,望,,,,,,
wēi ,微,,,,,,
wén ,文,雯,,,,,
wò ,沃,,,,,,
wǔ ,舞,,,,,,
xī ,汐,希,溪,,,,
xiàng ,向,xiāng ,香,,,,
xué ,学,xuě ,雪,,,,
yáng ,洋,,,,,,
yú ,妤,yǔ ,雨,,,,
yuán ,源,,,,,,
yún ,云,耘,雲,,,,
zǐ ,子,,,,,,